"","county","name","surv_year","collection_date","week","month","trap_nights","trap","trap_problem_bit","num_trap","sex","collection_type","latitude","longitude","collection_latitude","collection_longitude","closest_latitude","closest_longitude","Station_Distance","MaxTemp1DayPrior","MaxTemp2DayPrior","MaxTemp3DayPrior","MaxTemp1WeekPrior","MaxTemp2WeekPrior","MaxTemp3WeekPrior","MaxTemp1MonthPrior","MaxTemp2MonthPrior","MaxTemp3MonthPrior","MaxTemp1QuarterPrior","MaxTemp2QuarterPrior","MaxTemp3QuarterPrior","MinTemp1DayPrior","MinTemp2DayPrior","MinTemp3DayPrior","MinTemp1WeekPrior","MinTemp2WeekPrior","MinTemp3WeekPrior","MinTemp1MonthPrior","MinTemp2MonthPrior","MinTemp3MonthPrior","MinTemp1QuarterPrior","MinTemp2QuarterPrior","MinTemp3QuarterPrior","Precip1DayPrior_log","Precip2DayPrior_log","Precip3DayPrior_log","Precip1WeekPrior_log","Precip2WeekPrior_log","Precip3WeekPrior_log","Precip1MonthPrior_log","Precip2MonthPrior_log","Precip3MonthPrior_log","Precip1QuarterPrior_log","Precip2QuarterPrior","Precip3QuarterPrior","DiurnalTemp1DayPrior","DiurnalTemp2DayPrior","DiurnalTemp3DayPrior","DiurnalTemp1WeekPrior","DiurnalTemp2WeekPrior","DiurnalTemp3WeekPrior","DiurnalTemp1MonthPrior","DiurnalTemp2MonthPrior","DiurnalTemp3MonthPrior","DiurnalTemp1QuarterPrior","DiurnalTemp2QuarterPrior","DiurnalTemp3QuarterPrior","MeanTemp1DayPrior","MeanTemp2DayPrior","MeanTemp3DayPrior","MeanTemp1WeekPrior","MeanTemp2WeekPrior","MeanTemp3WeekPrior","MeanTemp1MonthPrior","MeanTemp2MonthPrior","MeanTemp3MonthPrior","MeanTemp1QuarterPrior","MeanTemp2QuarterPrior","MeanTemp3QuarterPrior","propforest100_log","propdeciduous100_log","propevergreen100_log","propmixedforest100_log","propwetlands100_log","proplowdeveloped100","propdeveloped100","propshrub100_log","propherby100_log","propforest1000_log","propwetlands1000_log","propdeciduous1000_log","propevergreen1000_log","propmixedforest1000_log","proplowdeveloped1000","propdeveloped1000","propshrub1000_log","propherby1000_log","AedesAegypti","AedesAlbopictus","AedesSierrensis","AedesVexans","AnophelesFreeborni","CulexQuinquefasciatus","CulexTarsalis","CulisetaIncidens","CulisetaInornata"
"175103","SanMateo","San Mateo County MVCD",2016,"2016-08-18",33,8,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",37.51224,237.7973,37.51224,-122.2027,37.75,237.75,0.2424193,23.86124,23.15079,22.67831,23.98616,22.66129,24.26862,24.20785,24.073,22.92809,23.73631,19.92143,15.20854,13.54905,13.35019,13.03685,13.33755,13.68051,13.57063,13.47706,13.28269,12.93703,13.23226,10.87485,7.251385,0,0,0,0,0.0497726718268626,0,0.0497726718268626,0.0490664402873848,0.232478167901772,0.309721314306877,201.1829,300.1616,10.31219,9.800598,9.641467,10.64861,8.980782,10.698,10.73079,10.7903,9.991063,10.50405,9.046586,7.957156,18.70515,18.25049,17.85758,18.66186,18.1709,18.91963,18.84246,18.67784,17.93256,18.48429,15.39814,11.22996,0,0,0,0,0,0.0625,0.9375,0,0,0,0.137752468468028,0,0,0,0.0192142242615429,0.282764554057929,0,0,0,0,0,0,0,0,1,0,0
"329240","Shasta","Shasta MVCD",2020,"2020-01-30",5,1,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",40.49269,237.583,40.49269,-122.417,40.25,237.75,0.29462,18.27667,14.08882,15.40373,14.73942,11.12152,11.66369,13.14226,12.59363,21.7626,15.83283,30.9648,32.29057,5.708863,7.100613,8.764689,7.593114,4.22965,2.771188,4.446507,5.071563,5.243176,4.920416,14.28914,16.61171,0.339213262289965,0.399695495859514,1.1006758247789,3.24149370131538,3.1321996644145,2.39263126034549,4.06460777414202,5.08119813253989,3.28236842422023,5.49654343999157,22.47019,86.2935,12.56781,6.98821,6.639042,7.146307,6.891875,8.892504,8.695752,7.522067,16.51942,10.91241,16.67566,15.67886,11.99277,10.59472,12.08421,11.16627,7.675587,7.217441,8.794383,8.832597,13.50289,10.37662,22.62697,24.45114,0.173271721274037,0,0,0.173271721274037,0,0.486486486486487,0.027027027027027,0.260283098263666,0,0.269189780107869,0.0323926363756824,0,0.0637688290658849,0.217574105631405,0.127111365588319,0.00973375322072717,0.359276766681373,0.082396296882067,0,0,0,0,0,0,0,1,0
"184825","Riverside","Northwest Mosquito and Vector Control",2016,"2016-10-20",42,10,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",33.69277,242.6478,33.69277,-117.3522,33.75,242.75,0.1171329,31.01891,24.59665,22.74246,25.86131,29.85285,27.99168,29.05869,30.78525,34.72632,31.52342,28.29775,23.22294,9.988006,10.10681,13.47265,11.30823,10.87865,13.69813,12.91528,14.79583,18.10501,15.27204,13.69658,6.856144,0,0.699838245375252,0,0.699838245375252,0,0.122941087781679,1.4704537375194,0.0618781699142617,0,1.48501734703446,10.85229,62.07669,21.0309,14.48984,9.269809,14.55308,18.97421,14.29356,16.14342,15.98942,16.6213,16.25138,14.60117,16.36679,20.50346,17.35173,18.10756,18.58477,20.36575,20.84491,20.98699,22.79054,26.41567,23.39773,20.99717,15.03954,0,0,0,0,0.171850256926659,0.4375,0.21875,0.0606246218164348,0.0606246218164348,0,0.111965162902631,0,0,0,0.369764773379231,0.174411933448078,0.1479846718836,0.15758710932584,0,0,0,0,0,1,0,0,0
"162055","LosAngeles","Greater LA County VCD",2016,"2016-06-14",24,6,1,"Carbon dioxide baited trap",FALSE,1,"Females - Unfed","abundance",33.99121,241.8009,33.99121,-118.1991,33.75,241.75,0.2465176,21.83878,21.845,20.7212,22.01531,22.75712,21.25118,21.73279,22.86486,21.76126,22.11964,20.42618,25.86441,15.85281,16.83518,16.68517,16.25009,15.40607,15.05288,15.4567,14.13017,13.00296,14.19661,9.971841,14.90165,0,0.111408092148137,0,0.111408092148137,0,0,0.111408092148137,1.77216304067145,1.95649309447573,2.49121090282662,126.2769,11.01808,5.985975,5.009821,4.036026,5.765222,7.351045,6.198298,6.276094,8.734692,8.758304,7.92303,10.45434,10.96276,18.84579,19.34009,18.70318,19.1327,19.0816,18.15203,18.59474,18.49751,17.38211,18.15812,15.19901,20.38303,0,0,0,0,0,0.027027027027027,0.972972972972973,0,0,0,0,0,0,0,0.00801373783629078,0.991986262163709,0,0,0,0,0,0,0,1,0,1,0
"375579","Riverside","Coachella Valley MVCD",2020,"2020-11-20",47,11,1,"BG Sentinel",FALSE,1,"Females - Unfed","abundance",33.5718,243.9314,33.5718,-116.0686,33.75,243.75,0.2542857,25.70385,26.45231,26.46187,25.68413,19.59522,31.48445,25.77825,37.06774,40.2359,34.36063,39.17152,25.59485,9.934943,9.03571,8.291413,8.33092,5.99603,12.60559,9.945536,18.46661,24.57281,17.66165,22.32562,12.35649,0,0,0,0,0.967874704010835,0,0.994540571781878,0,0,0.994540571781878,2.946316,72.88196,15.76891,17.4166,18.17045,17.35321,13.59919,18.87886,15.83271,18.60113,15.66308,16.69898,16.84591,13.23835,17.8194,17.74401,17.37664,17.00752,12.79562,22.04502,17.86189,27.76718,32.40435,26.01114,30.74857,18.97567,0,0,0,0,0,0.235294117647059,0.764705882352941,0,0,0,0,0,0,0,0.172166427546628,0.313916786226686,0.0612152145355629,0,0,0,0,0,0,1,1,0,0
"312189","Alameda","Alameda County MAD",2019,"2019-08-23",34,8,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",37.89214,237.727,37.89214,-122.273,37.75,237.75,0.143988818,28.5353527069092,27.4260120391846,22.8032398223877,25.5063490186419,29.7396869659424,24.489741734096,26.2283553441366,23.4350129445394,24.0410388946533,24.5681357277764,18.680853260888,15.072318289015,17.6898651123047,14.8274831771851,16.2898921966553,15.8926360266549,15.9157228469849,15.4322695050921,15.365926361084,14.1252549489339,13.4257365544637,14.3056392881605,10.2554405901167,7.44627162880368,0,0,0,0,0,0,0,0,0.529568824071556,0.529568824071556,214.309282623231,378.920502653345,10.8454875946045,12.5985288619995,6.51334762573242,9.61371299198696,13.8239641189575,9.05747222900391,10.8624289830526,9.30975799560547,10.6153023401896,10.2624964396159,8.42541267077128,7.62604666021135,23.1126089096069,21.1267476081848,19.5465660095215,20.6994925226484,22.8277049064636,19.961005619594,20.7971408526103,18.7801339467367,18.7333877245585,19.4368875079685,14.4681469255024,11.2592949589094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0
"300309","LosAngeles","Greater LA County VCD",2019,"2019-07-12",28,7,1,"BG Sentinel",FALSE,1,"Females - Unfed","abundance",33.99121,241.8009,33.99121,-118.1991,33.75,241.75,0.2465176,25.78126,24.58616,25.005,24.13454,25.43348,22.23219,23.37859,21.13068,20.66561,21.72496,18.89046,22.17701,17.05001,17.03232,18.0634,17.46361,17.12674,16.93834,17.16111,14.41678,13.52626,15.03471,10.06615,11.99993,0,0,0.121585486058986,0.121585486058986,0,0.732932638061267,0.793201091061341,2.86835220837617,1.23869157198965,3.05727600227401,261.0086,114.2794,8.731255,7.553844,6.941599,6.670922,8.306746,5.293852,6.217488,6.713898,7.13935,6.690245,8.824306,10.17708,21.41564,20.80924,21.5342,20.79907,21.28011,19.58526,20.26985,17.77373,17.09593,18.37984,14.4783,17.08847,0,0,0,0,0,0.02702703,0.972973,0,0,0,0,0,0,0,0.007441328,0.9925587,0,0,1,0,0,0,0,1,1,1,0
"390445","Riverside","Northwest Mosquito and Vector Control",2021,"2021-06-17",24,6,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",33.93417,242.4605,33.93417,-117.5395,33.75,242.25,0.2796688,28.77167,34.2822,31.66604,29.32393,23.5793,23.66116,25.06741,22.60794,21.74584,23.1404,19.3153,25.43436,18.74587,18.50764,15.87488,15.62471,14.9784,15.00188,14.6779,13.34205,10.33811,12.78602,7.898691,12.5276,0,0,0,0,0.0829146351237488,0,0.194093577197676,0.780202931565034,0.0822429008570184,0.909001832268836,108.1606,9.862853,10.0258,15.77456,15.79115,13.69922,8.600892,8.659281,10.38952,9.265896,11.40773,10.35438,11.41661,12.90676,23.75877,26.39492,23.77046,22.47432,19.27885,19.33152,19.87266,17.975,16.04198,17.96321,13.607,18.98098,0,0,0,0,0,0.8285714,0,0,0.158224029605138,0,0,0,0,0,0.6997995,0.1687196,0,0.0170410234584405,1,0,0,0,0,1,1,1,0
"305208","Sacramento","Sacramento-Yolo MVCD",2019,"2019-07-30",31,7,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",38.39466,238.5912,38.39466,-121.4088,38.25,238.75,0.2148315,32.95483,39.77432,38.53433,36.73453,33.22417,33.61513,33.59707,32.4325,23.88049,29.97002,18.52069,16.46766,17.43311,19.50486,15.3385,17.58184,15.42846,14.82841,15.20892,14.42999,10.09022,13.24304,6.831806,4.663248,0,0,0.115307262346155,0.115307262346155,0,0,0.115307262346155,0,4.26072402194113,4.2624471739117,265.4914,243.5445,15.52172,20.26946,23.19583,19.15269,17.79571,18.78672,18.38815,18.00251,13.79027,16.72698,11.68888,11.80441,25.19397,29.63959,26.93642,27.15818,24.32631,24.22177,24.40299,23.43125,16.98535,21.60653,12.67625,10.56545,0,0,0,0,0,0.8125,0.15625,0,0,0,0,0,0,0,0.186460126219162,0.473895582329317,0,0.0492544991544899,0,0,0,0,0,0,1,1,0
"192174","Placer","Placer MVCD",2017,"2017-04-11",15,4,1,"Carbon dioxide baited trap",FALSE,1,"Females - Mixed","abundance",38.7874,238.6288,38.78721,-121.3729,38.75,238.75,0.1267943,18.71279,15.65443,12.19856,17.46118,22.122,15.99634,19.53495,15.35005,12.83979,15.90826,15.82006,31.82879,4.743623,2.276895,4.623831,7.133813,7.636718,7.827018,7.929672,4.713865,4.417954,5.687163,5.5354,13.443,0,1.70720996842379,3.23267379356508,4.17485639061054,0.820020331205298,4.21816842638957,4.89192683036337,5.01554256704589,5.47905183124401,6.25683831692944,436.5298,1.516806,13.96917,13.37754,7.57473,10.32736,14.48528,8.169323,11.60528,10.63619,8.42184,10.2211,10.28466,18.3858,11.72821,8.965663,8.411196,12.29749,14.87936,11.91168,13.73231,10.03196,8.628873,10.79771,10.67773,22.63589,0,0,0,0,0,0.0571428571428571,0,0,0.664159643686693,0,0.0170265180205948,0,0,0,0.237836290784201,0.289639381797367,0.00171575678350327,0.320065586400567,0,0,1,0,1,0,1,0,0
