county,name,site_name,surv_year,collection_date,trap_nights,trap,trap_problem_bit,num_trap,sex,num_count,collection_type,site_code,site_latitude,site_longitude,collection_latitude,collection_longitude
Alameda,Alameda County MAD,2549 Kilkare Road,2018,6/11/18,1,Mosquito magnet trap,FALSE,1,Females - Mixed,5,abundance,572987,37.629288,-121.914555,37.629288,-121.914555
Alameda,Alameda County MAD,260 Silverado Ct.,2016,6/30/16,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,200017,37.760379,-122.131483,37.760379,-122.131483
Alameda,Alameda County VCSD,695 Gateview Ave.,2006,4/14/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2006,5/12/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2006,5/23/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,3,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2006,7/18/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2006,8/1/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2008,6/10/08,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2010,10/5/10,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2012,6/5/12,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2013,4/17/13,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,2,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2013,6/4/13,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,2,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2013,7/23/13,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2015,4/21/15,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2016,4/6/16,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2016,7/12/16,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2016,8/9/16,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2017,5/9/17,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,2,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2017,6/6/17,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,4,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2017,7/5/17,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2019,6/11/19,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,695 Gateview Ave.,2019,7/9/19,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,14,37.892214,-122.305837,37.892214,-122.305837
Alameda,Alameda County VCSD,Adams Street,2006,10/10/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2006,11/7/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2006,4/28/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2006,5/12/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,3,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2006,5/23/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,12,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2006,6/6/06,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,4,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2010,9/21/10,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2011,5/24/11,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,2,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2011,6/14/11,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,2,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2014,9/24/14,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2016,4/20/16,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,3,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2016,5/3/16,1,Carbon dioxide baited trap,FALSE,11,Females - Unfed,1,abundance,5,37.898056,-122.303333,37.898056,-122.303333
Alameda,Alameda County VCSD,Adams Street,2016,6/14/16,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,2,abundance,5,37.898056,-122.303333,37.898056,-122.303333
