county,name,agency_collection_num,surv_year,collection_date,trap_nights,trap,trap_problem_bit,num_trap,sex,num_count,collection_type,code,site_latitude,site_longitude,collection_latitude,collection_longitude
Colusa,Colusa MAD,1,2010,4/20/10 0:00,7,New Jersey light trap,FALSE,1,Females - Mixed,8,abundance,CLSA,39.205,-122.016111,39.205,-122.016111
Colusa,Colusa MAD,11,2010,5/4/10 0:00,7,New Jersey light trap,FALSE,1,Females - Mixed,8,abundance,CLSA,39.205,-122.016111,39.205,-122.016111
Colusa,Colusa MAD,20,2010,5/18/10 0:00,7,New Jersey light trap,FALSE,1,Females - Mixed,16,abundance,CLSA,39.216389,-122.030278,39.216389,-122.030278
Fresno,Consolidated MAD,14,2010,4/8/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.736111,-119.465639,36.736111,-119.465639
Fresno,Consolidated MAD,109,2010,4/20/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,22,abundance,CNSL,36.773094,-119.418722,36.773094,-119.418722
Fresno,Consolidated MAD,124,2010,4/20/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.609667,-119.465194,36.609667,-119.465194
Fresno,Consolidated MAD,230,2010,4/29/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.730444,-119.452944,36.730444,-119.452944
Fresno,Consolidated MAD,253,2010,5/4/10 0:00,1,Gravid trap,FALSE,1,Females - Mixed,2,abundance,CNSL,36.773094,-119.418722,36.773094,-119.418722
Fresno,Consolidated MAD,258,2010,5/4/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,21,abundance,CNSL,36.773094,-119.418722,36.773094,-119.418722
Fresno,Consolidated MAD,259,2010,5/4/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,CNSL,36.736111,-119.465639,36.736111,-119.465639
Fresno,Consolidated MAD,261,2010,5/4/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,6,abundance,CNSL,36.730444,-119.452944,36.730444,-119.452944
Fresno,Consolidated MAD,364,2010,5/11/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,62,abundance,CNSL,36.65075,-119.475722,36.65075,-119.475722
Fresno,Consolidated MAD,367,2010,5/11/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,28,abundance,CNSL,36.651917,-119.478833,36.651917,-119.478833
Fresno,Consolidated MAD,367,2010,5/11/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Bloodfed,1,abundance,CNSL,36.651917,-119.478833,36.651917,-119.478833
Fresno,Consolidated MAD,409,2010,5/12/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.720947,-119.503747,36.720947,-119.503747
Fresno,Consolidated MAD,426,2010,5/13/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.607778,-119.465306,36.607778,-119.465306
Fresno,Consolidated MAD,427,2010,5/13/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.609667,-119.465194,36.609667,-119.465194
Fresno,Consolidated MAD,435,2010,5/14/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,3,abundance,CNSL,36.641028,-119.468194,36.641028,-119.468194
Fresno,Consolidated MAD,436,2010,5/14/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.643111,-119.466222,36.643111,-119.466222
Fresno,Consolidated MAD,438,2010,5/14/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,28,abundance,CNSL,36.65075,-119.475722,36.65075,-119.475722
Fresno,Consolidated MAD,443,2010,5/14/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,39,abundance,CNSL,36.651917,-119.478833,36.651917,-119.478833
Fresno,Consolidated MAD,445,2010,5/14/10 0:00,1,Gravid trap,FALSE,1,Females - Gravid,2,abundance,CNSL,36.651917,-119.478833,36.651917,-119.478833
Fresno,Consolidated MAD,457,2010,5/14/10 0:00,1,Gravid trap,FALSE,1,Females - Mixed,4,abundance,CNSL,36.714466,-119.473378,36.714466,-119.473378
Fresno,Consolidated MAD,460,2010,5/14/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,4,abundance,CNSL,36.716833,-119.475222,36.716833,-119.475222
Fresno,Consolidated MAD,503,2010,5/6/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.788056,-119.408889,36.788056,-119.408889
Fresno,Consolidated MAD,540,2010,5/19/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,8,abundance,CNSL,36.723033,-119.504122,36.723033,-119.504122
Fresno,Consolidated MAD,544,2010,5/19/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,CNSL,36.773094,-119.418722,36.773094,-119.418722
Fresno,Consolidated MAD,718,2010,5/20/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,11,abundance,CNSL,36.731389,-119.499444,36.731389,-119.499444
Fresno,Consolidated MAD,731,2010,6/2/10 0:00,1,Gravid trap,FALSE,1,Females - Mixed,1,abundance,CNSL,36.723033,-119.504122,36.723033,-119.504122
Fresno,Consolidated MAD,737,2010,6/2/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,13,abundance,CNSL,36.723033,-119.504122,36.723033,-119.504122
Fresno,Consolidated MAD,738,2010,6/2/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,13,abundance,CNSL,36.773094,-119.418722,36.773094,-119.418722
Fresno,Consolidated MAD,831,2010,6/8/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.48325,-119.544472,36.48325,-119.544472
Fresno,Consolidated MAD,871,2010,6/3/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,4,abundance,CNSL,36.731389,-119.499444,36.731389,-119.499444
Fresno,Consolidated MAD,873,2010,6/3/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,4,abundance,CNSL,36.721694,-119.506583,36.721694,-119.506583
Fresno,Consolidated MAD,875,2010,6/3/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.788056,-119.408889,36.788056,-119.408889
Fresno,Consolidated MAD,876,2010,6/9/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,6,abundance,CNSL,36.734389,-119.467667,36.734389,-119.467667
Fresno,Consolidated MAD,880,2010,6/9/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,7,abundance,CNSL,36.732222,-119.4675,36.732222,-119.4675
Fresno,Consolidated MAD,883,2010,6/9/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,14,abundance,CNSL,36.733983,-119.466564,36.733983,-119.466564
Fresno,Consolidated MAD,885,2010,6/9/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,20,abundance,CNSL,36.732315,-119.465786,36.732315,-119.465786
Fresno,Consolidated MAD,911,2010,6/10/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,6,abundance,CNSL,36.723033,-119.504122,36.723033,-119.504122
Fresno,Consolidated MAD,912,2010,6/10/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.724283,-119.502072,36.724283,-119.502072
Fresno,Consolidated MAD,913,2010,6/10/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,7,abundance,CNSL,36.720947,-119.503747,36.720947,-119.503747
Fresno,Consolidated MAD,915,2010,6/10/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,26,abundance,CNSL,36.726258,-119.497617,36.726258,-119.497617
Fresno,Consolidated MAD,954,2010,6/10/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,4,abundance,CNSL,36.731389,-119.499444,36.731389,-119.499444
Fresno,Consolidated MAD,955,2010,6/10/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,12,abundance,CNSL,36.721694,-119.506583,36.721694,-119.506583
Fresno,Consolidated MAD,957,2010,6/10/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,15,abundance,CNSL,36.736667,-119.464444,36.736667,-119.464444
Fresno,Consolidated MAD,983,2010,6/16/10 0:00,1,Gravid trap,FALSE,1,Females - Mixed,3,abundance,CNSL,36.736111,-119.465639,36.736111,-119.465639
Fresno,Consolidated MAD,994,2010,6/16/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,26,abundance,CNSL,36.723033,-119.504122,36.723033,-119.504122
Fresno,Consolidated MAD,997,2010,6/16/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,9,abundance,CNSL,36.724528,-119.461528,36.724528,-119.461528
Fresno,Consolidated MAD,998,2010,6/17/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,13,abundance,CNSL,36.736111,-119.465639,36.736111,-119.465639
Fresno,Consolidated MAD,1001,2010,6/17/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,CNSL,36.773094,-119.418722,36.773094,-119.418722
Fresno,Consolidated MAD,1053,2010,6/22/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,18,abundance,CNSL,36.48325,-119.544472,36.48325,-119.544472
Fresno,Consolidated MAD,1054,2010,6/22/10 0:00,1,Gravid trap,FALSE,1,Females - Gravid,2,abundance,CNSL,36.48325,-119.544472,36.48325,-119.544472
Fresno,Consolidated MAD,1113,2010,6/23/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,7,abundance,CNSL,36.643111,-119.466222,36.643111,-119.466222
Fresno,Consolidated MAD,1114,2010,6/23/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,15,abundance,CNSL,36.641028,-119.468194,36.641028,-119.468194
Fresno,Consolidated MAD,1115,2010,6/23/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,226,abundance,CNSL,36.633222,-119.468444,36.633222,-119.468444
Fresno,Consolidated MAD,1116,2010,6/23/10 0:00,1,Gravid trap,FALSE,1,Females - Gravid,2,abundance,CNSL,36.633222,-119.468444,36.633222,-119.468444
Fresno,Consolidated MAD,1134,2010,6/17/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.731389,-119.499444,36.731389,-119.499444
Fresno,Consolidated MAD,1135,2010,6/17/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,4,abundance,CNSL,36.721694,-119.506583,36.721694,-119.506583
Fresno,Consolidated MAD,1137,2010,6/17/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,23,abundance,CNSL,36.736667,-119.464444,36.736667,-119.464444
Fresno,Consolidated MAD,1156,2010,6/24/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,57,abundance,CNSL,36.724283,-119.502072,36.724283,-119.502072
Fresno,Consolidated MAD,1157,2010,6/24/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,81,abundance,CNSL,36.723033,-119.504122,36.723033,-119.504122
Fresno,Consolidated MAD,1158,2010,6/24/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,277,abundance,CNSL,36.720947,-119.503747,36.720947,-119.503747
Fresno,Consolidated MAD,1159,2010,6/24/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,32,abundance,CNSL,36.722361,-119.501583,36.722361,-119.501583
Fresno,Consolidated MAD,1160,2010,6/24/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,91,abundance,CNSL,36.726258,-119.497617,36.726258,-119.497617
Fresno,Consolidated MAD,1161,2010,6/24/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,154,abundance,CNSL,36.607778,-119.465306,36.607778,-119.465306
Fresno,Consolidated MAD,1162,2010,6/24/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,3,abundance,CNSL,36.596028,-119.468806,36.596028,-119.468806
Fresno,Consolidated MAD,1165,2010,6/24/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,3,abundance,CNSL,36.561083,-119.484167,36.561083,-119.484167
Fresno,Consolidated MAD,1166,2010,6/24/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1834,abundance,CNSL,36.609667,-119.465194,36.609667,-119.465194
Fresno,Consolidated MAD,1182,2010,6/25/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.522667,-119.532278,36.522667,-119.532278
Fresno,Consolidated MAD,1203,2010,6/24/10 0:00,1,Gravid trap,FALSE,1,Females - Gravid,1,abundance,CNSL,36.720694,-119.507639,36.720694,-119.507639
Fresno,Consolidated MAD,1205,2010,6/24/10 0:00,1,Gravid trap,FALSE,1,Females - Gravid,4,abundance,CNSL,36.7225,-119.505889,36.7225,-119.505889
Fresno,Consolidated MAD,1235,2010,6/29/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,7,abundance,CNSL,36.773094,-119.418722,36.773094,-119.418722
Fresno,Consolidated MAD,1238,2010,6/29/10 0:00,1,Gravid trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.723033,-119.504122,36.723033,-119.504122
Fresno,Consolidated MAD,1242,2010,6/29/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,CNSL,36.706978,-119.491464,36.706978,-119.491464
Fresno,Consolidated MAD,1243,2010,6/29/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,16,abundance,CNSL,36.706978,-119.491464,36.706978,-119.491464
Fresno,Consolidated MAD,1244,2010,6/29/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,9,abundance,CNSL,36.698804,-119.502003,36.698804,-119.502003
Fresno,Consolidated MAD,1246,2010,6/29/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,8,abundance,CNSL,36.731969,-119.469997,36.731969,-119.469997
Fresno,Consolidated MAD,1247,2010,6/29/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,33,abundance,CNSL,36.733983,-119.466564,36.733983,-119.466564
Fresno,Consolidated MAD,1248,2010,6/29/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,128,abundance,CNSL,36.723033,-119.504122,36.723033,-119.504122
Fresno,Consolidated MAD,1267,2010,7/1/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,3,abundance,CNSL,36.623556,-119.461083,36.623556,-119.461083
Fresno,Consolidated MAD,1268,2010,7/1/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,13,abundance,CNSL,36.622389,-119.460472,36.622389,-119.460472
Fresno,Consolidated MAD,1270,2010,7/1/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.622889,-119.458667,36.622889,-119.458667
Fresno,Consolidated MAD,1275,2010,7/2/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,CNSL,36.739139,-119.463083,36.739139,-119.463083
Fresno,Consolidated MAD,1276,2010,7/2/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,1,abundance,CNSL,36.743305,-119.46048,36.743305,-119.46048
Fresno,Consolidated MAD,1278,2010,7/2/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,4,abundance,CNSL,36.736111,-119.465639,36.736111,-119.465639
Fresno,Consolidated MAD,1280,2010,7/2/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,4,abundance,CNSL,36.734385,-119.463734,36.734385,-119.463734
Fresno,Consolidated MAD,1306,2010,6/24/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,2,abundance,CNSL,36.731389,-119.499444,36.731389,-119.499444
Fresno,Consolidated MAD,1307,2010,6/24/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,9,abundance,CNSL,36.721694,-119.506583,36.721694,-119.506583
Fresno,Consolidated MAD,1309,2010,6/24/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,14,abundance,CNSL,36.736667,-119.464444,36.736667,-119.464444
Fresno,Consolidated MAD,1316,2010,7/7/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,5,abundance,CNSL,36.48325,-119.544472,36.48325,-119.544472
Fresno,Consolidated MAD,1322,2010,7/7/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,22,abundance,CNSL,36.485306,-119.541167,36.485306,-119.541167
Fresno,Consolidated MAD,1358,2010,7/8/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,6,abundance,CNSL,36.724283,-119.502072,36.724283,-119.502072
Fresno,Consolidated MAD,1359,2010,7/8/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,38,abundance,CNSL,36.723033,-119.504122,36.723033,-119.504122
Fresno,Consolidated MAD,1360,2010,7/8/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,159,abundance,CNSL,36.720947,-119.503747,36.720947,-119.503747
Fresno,Consolidated MAD,1361,2010,7/8/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,8,abundance,CNSL,36.722361,-119.501583,36.722361,-119.501583
Fresno,Consolidated MAD,1362,2010,7/8/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,241,abundance,CNSL,36.726258,-119.497617,36.726258,-119.497617
Fresno,Consolidated MAD,1381,2010,7/8/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,4,abundance,CNSL,36.716033,-119.47169,36.716033,-119.47169
Fresno,Consolidated MAD,1398,2010,7/8/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,2,abundance,CNSL,36.716033,-119.47169,36.716033,-119.47169
Fresno,Consolidated MAD,1409,2010,7/8/10 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Mixed,5,abundance,CNSL,36.716033,-119.47169,36.716033,-119.47169
Fresno,Consolidated MAD,1412,2010,7/1/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,1,abundance,CNSL,36.653056,-119.530333,36.653056,-119.530333
Fresno,Consolidated MAD,1425,2010,7/1/10 0:00,7,New Jersey light trap,FALSE,1,Females - Unfed,3,abundance,CNSL,36.731389,-119.499444,36.731389,-119.499444
