STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/1/79,0,,
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/2/79,0,50,22
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/3/79,0,51,28
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/4/79,0.02,55,33
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/5/79,0,55,39
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/6/79,0,49,36
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/7/79,0.28,48,33
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/8/79,2.37,45,35
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/9/79,0.63,47,36
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/10/79,0.48,45,39
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/11/79,2.65,50,39
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/12/79,0.13,50,34
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/13/79,0,,28
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/14/79,1.79,47,29
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/15/79,3.13,37,30
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/16/79,0,54,26
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/17/79,0,46,27
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/18/79,0,47,25
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/19/79,0,59,24
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/20/79,0,53,27
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/21/79,0,57,30
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/22/79,0,53,25
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/23/79,0,50,25
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/24/79,0.02,45,27
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/25/79,0.05,46,22
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/26/79,0,48,18
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/27/79,0,45,23
USC00042402,"DE SABLA, CA US",39.8716,-121.6108,826,1/28/79,0,43,24
