STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/1/92,0,58,38
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/2/92,0,58,38
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/3/92,0,54,36
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/4/92,0,58,40
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/5/92,1.05,61,41
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/6/92,0.11,49,40
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/7/92,0.33,49,42
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/8/92,0,52,36
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/9/92,0,54,37
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/10/92,0.02,48,32
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/11/92,0.01,42,33
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/12/92,0,52,29
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/13/92,0,50,34
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/14/92,0,52,34
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/15/92,0,54,33
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/16/92,0,49,32
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/17/92,0,45,34
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/18/92,0,44,38
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/19/92,0,43,31
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/20/92,0,44,30
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/21/92,0.02,42,30
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/22/92,0,39,33
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/23/92,0,38,30
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/24/92,0,38,30
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/25/92,0,44,31
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/26/92,0,53,39
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/27/92,0,58,40
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/28/92,0.12,52,42
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/29/92,0,55,39
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/30/92,0,60,40
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,1/31/92,0,60,39
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/1/92,0.15,70,45
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/2/92,0,59,34
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/3/92,0,57,36
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/4/92,0,57,32
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/5/92,0,62,42
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/6/92,0.07,59,47
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/7/92,0.1,54,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/8/92,0,60,50
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/9/92,0,62,52
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/10/92,0.6,63,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/11/92,0.97,58,46
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/12/92,0.46,64,50
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/13/92,,,
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/14/92,,57,47
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/15/92,1.83,60,38
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/16/92,0.37,53,40
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/17/92,0.23,57,44
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/18/92,0,60,45
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/19/92,0.05,61,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/20/92,0.6,64,54
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/21/92,0.04,64,50
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/22/92,0.15,62,50
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/23/92,0,64,42
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/24/92,0,65,45
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/25/92,0.02,69,47
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/26/92,0,73,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/27/92,0,73,50
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/28/92,0,74,43
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,2/29/92,0,73,57
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/1/92,0.2,69,49
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/2/92,0.03,67,51
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/3/92,0,64,52
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/4/92,0.03,64,45
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/5/92,0,65,53
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/6/92,1.25,62,45
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/7/92,0.11,60,38
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/8/92,0,60,41
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/9/92,0,65,45
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/10/92,0,64,46
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/11/92,0,64,44
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/12/92,0,69,53
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/13/92,0,72,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/14/92,0,74,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/15/92,0.32,64,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/16/92,0.1,62,45
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/17/92,0.13,58,45
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/18/92,0,62,45
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/19/92,0,66,46
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/20/92,0,64,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/21/92,0,64,50
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/22/92,0.21,76,50
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/23/92,0.32,67,44
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/24/92,0,66,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/25/92,0,68,50
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/26/92,0,72,51
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/27/92,0,73,46
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/28/92,0,74,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/29/92,0,70,46
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/30/92,0,64,50
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,3/31/92,0.01,64,49
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,4/1/92,0,70,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,4/2/92,0,76,53
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,4/3/92,0,79,50
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,4/4/92,0,72,46
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,4/5/92,0,68,43
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,4/6/92,0,67,41
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,4/7/92,0,70,46
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,4/8/92,0,74,48
USC00041428,"CAMP PARDEE, CA US",38.2486,-120.8433,200.6,4/9/92,0,78,46
