STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/1/90,0.1,54,39
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/2/90,0,54,39
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/3/90,0,55,27
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/4/90,0,58,26
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/5/90,0,58,26
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/6/90,0,56,28
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/7/90,0,64,39
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/8/90,0,69,39
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/9/90,0,68,36
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/10/90,0,70,36
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/11/90,0,74,38
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/12/90,0.17,73,44
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/13/90,0.98,65,53
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/14/90,0.43,62,49
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/15/90,0,59,47
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/16/90,0.11,57,43
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/17/90,0,52,39
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/18/90,0,54,41
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/19/90,0,59,34
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/20/90,0,59,37
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/21/90,0,57,33
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/22/90,0,53,33
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/23/90,0,46,38
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/24/90,0,45,40
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/25/90,0,61,39
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/26/90,0,59,36
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/27/90,0,56,35
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/28/90,0,64,32
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/29/90,0,63,34
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/30/90,0.13,60,44
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,1/31/90,0,61,41
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/1/90,0.15,58,42
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/2/90,0,56,38
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/3/90,0.07,67,37
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/4/90,0.22,54,41
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/5/90,0,60,35
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/6/90,0.03,53,42
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/7/90,0,55,38
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/8/90,0,58,33
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/9/90,0,62,42
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/10/90,0,65,38
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/11/90,0,66,40
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/12/90,0,67,47
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/13/90,0,54,40
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/14/90,0,52,35
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/15/90,0,57,30
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/16/90,0.16,55,34
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/17/90,0.07,58,41
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/18/90,0.01,53,40
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/19/90,0,55,32
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/20/90,0,59,33
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/21/90,0,64,41
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/22/90,0,72,37
USW00023110,"LEMOORE REEVES NAS, CA US",36.33333,-119.95,70.7,2/23/90,0,73,42
