STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/1/79,0,45,20
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/2/79,0,48,29
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/3/79,0,47,31
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/4/79,0.04,50,33
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/5/79,0.2,55,38
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/6/79,0.02,55,37
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/7/79,0,53,42
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/8/79,0.1,51,46
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/9/79,0.6,53,39
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/10/79,0,64,43
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/11/79,0.08,60,46
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/12/79,0.12,57,46
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/13/79,0,61,38
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/14/79,0.27,52,41
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/15/79,0.5,53,43
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/16/79,0.02,53,40
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/17/79,0,49,32
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/18/79,0.09,55,33
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/19/79,0,55,38
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/20/79,0,58,30
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/21/79,0,53,35
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/22/79,0,57,32
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/23/79,0,47,32
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/24/79,0,49,43
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/25/79,0,52,32
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/26/79,0,54,32
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/27/79,0,54,29
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/28/79,0,54,33
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/29/79,0,54,25
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/30/79,0,52,28
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,1/31/79,0.23,45,32
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,2/1/79,0.26,44,36
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,2/2/79,0.37,53,38
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,2/3/79,0,50,29
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,2/4/79,0,57,30
USC00045118,"LOS BANOS, CA US",37.0563,-120.8666,36.6,2/5/79,0,58,31
