STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/1/06,0.31,58,47
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/2/06,1.37,54,51
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/3/06,0.1,55,42
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/4/06,0.15,63,51
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/5/06,0,65,46
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/6/06,0,64,40
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/7/06,0.05,64,40
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/8/06,0.01,60,42
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/9/06,0,59,35
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/10/06,0,59,37
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/11/06,0.13,61,52
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/12/06,0,60,38
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/13/06,0,61,47
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/14/06,0.35,61,47
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/15/06,0,55,33
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/16/06,0,56,36
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/17/06,0,56,42
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/18/06,0.8,57,47
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/19/06,0.03,57,35
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/20/06,0,55,33
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/21/06,0.1,56,46
USC00046074,"NAPA STATE HOSPITAL, CA US",38.2777,-122.2647,10.7,1/22/06,0,62,38
