STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/1/06,,52,44
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/2/06,,52,43
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/3/06,,59,39
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/4/06,,71,49
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/5/06,,73,59
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/6/06,,83,57
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/7/06,,71,50
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/8/06,,72,50
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/9/06,,63,50
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/10/06,,72,46
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/11/06,,70,50
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/12/06,,70,48
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/13/06,,76,50
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/14/06,,52,41
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/15/06,,57,38
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/16/06,,58,39
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/17/06,,70,44
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/18/06,,65,42
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/19/06,,57,40
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/20/06,,62,42
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/21/06,,59,45
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/22/06,,58,45
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/23/06,,60,47
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/24/06,,72,41
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/25/06,,58,39
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/26/06,,62,39
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/27/06,,60,39
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/28/06,,66,41
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/29/06,,67,41
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/30/06,,68,43
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,1/31/06,,69,41
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/1/06,,68,48
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/2/06,,69,48
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/3/06,,83,52
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/4/06,,79,55
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/5/06,,76,57
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/6/06,,72,53
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/7/06,,74,53
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/8/06,,79,62
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/9/06,,77,57
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/10/06,,80,55
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/11/06,,79,54
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/12/06,,79,56
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/13/06,,85,58
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/14/06,,75,43
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/15/06,,55,38
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/16/06,,60,37
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/17/06,,58,35
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/18/06,,48,36
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/19/06,,47,33
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/20/06,,52,32
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/21/06,,53,34
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/22/06,,63,40
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/23/06,,72,45
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/24/06,,72,46
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/25/06,,74,47
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/26/06,,76,53
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/27/06,,67,42
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,2/28/06,,59,42
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,3/1/06,,62,40
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,3/2/06,,64,38
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,3/3/06,,48,36
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,3/4/06,,61,34
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,3/5/06,,68,41
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,3/6/06,,64,42
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,3/7/06,,54,41
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,3/8/06,,63,40
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,3/9/06,,56,37
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,3/10/06,,45,34
USR0000CELC,"EL CARISO CALIFORNIA, CA US",33.6472,-117.4111,926,3/11/06,,43,33
