STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/1/05,0.64,54,42
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/2/05,1.72,47,42
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/3/05,0.93,54,40
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/4/05,0,50,33
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/5/05,0.05,51,41
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/6/05,0,58,37
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/7/05,2.91,54,43
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/8/05,1.29,50,45
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/9/05,0.2,54,42
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/10/05,0.05,54,43
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/11/05,1.61,54,44
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/12/05,0,63,32
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/13/05,0,50,33
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/14/05,0,65,28
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/15/05,0,66,30
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/16/05,0,72,37
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/17/05,0,72,36
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/18/05,0,74,37
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/19/05,0,79,38
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/20/05,0,79,36
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/21/05,0,71,35
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/22/05,0,74,35
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/23/05,0,71,42
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/24/05,0,69,41
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/25/05,0.02,60,41
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/26/05,1.14,60,51
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/27/05,0,54,44
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/28/05,1.21,59,46
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/29/05,0.06,62,35
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/30/05,0,66,32
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,1/31/05,0,69,33
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/1/05,0,77,34
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/2/05,0,74,31
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/3/05,0,71,32
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/4/05,0,73,33
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/5/05,0,64,41
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/6/05,0,62,38
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/7/05,0.15,58,46
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/8/05,0,61,37
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/9/05,0,63,34
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/10/05,0,73,35
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/11/05,0.07,59,40
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/12/05,0.08,68,46
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/13/05,0.02,57,43
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/14/05,0.11,58,47
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/15/05,1.87,58,47
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/16/05,1.13,63,50
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/17/05,0.08,57,43
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/18/05,1.24,62,48
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/19/05,0.35,55,46
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/20/05,0.67,57,47
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/21/05,1.08,65,49
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/22/05,0.13,68,39
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/23/05,0,67,38
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/24/05,0,57,48
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/25/05,0,67,48
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/26/05,0,61,47
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/27/05,0.27,57,50
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,2/28/05,0.8,66,44
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/1/05,0.01,62,40
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/2/05,1.28,68,48
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/3/05,0.05,62,39
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/4/05,0.84,56,50
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/5/05,0,69,46
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/6/05,0,77,40
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/7/05,0,75,40
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/8/05,0,82,42
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/9/05,0,86,43
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/10/05,0,86,43
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/11/05,0,88,45
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/12/05,0,72,53
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/13/05,0,66,52
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/14/05,0,74,42
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/15/05,0,78,33
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/16/05,0,74,32
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/17/05,0,67,41
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/18/05,0.18,58,47
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/19/05,1.71,61,51
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/20/05,0.21,61,50
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/21/05,0.16,60,47
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/22/05,3.69,57,48
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/23/05,0.66,58,45
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/24/05,0,64,42
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/25/05,0,65,35
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/26/05,0,68,36
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/27/05,0.39,63,39
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/28/05,0.8,63,39
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/29/05,0.38,62,41
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/30/05,0,71,36
USC00040673,"BEN LOMOND NUMBER 4, CA US",37.0855,-122.0797,128,3/31/05,0,77,34
