STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/1/83,0,49,27
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/2/83,0,44,26
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/3/83,0,43,32
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/4/83,0,43,35
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/5/83,0,40,36
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/6/83,0,40,37
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/7/83,0,40,36
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/8/83,0,47,37
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/9/83,0,45,34
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/10/83,0,67,29
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/11/83,0,48,30
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/12/83,0,49,33
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/13/83,0,40,31
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/14/83,0,44,30
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/15/83,0,42,32
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/16/83,0.41,48,37
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/17/83,0.01,50,44
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/18/83,0.01,49,44
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/19/83,1.15,51,40
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/20/83,0,53,36
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/21/83,0,52,35
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/22/83,0.74,46,39
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/23/83,0.7,51,36
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/24/83,2.27,56,41
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/25/83,0.05,58,42
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/26/83,0,55,42
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/27/83,3.02,56,49
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/28/83,0.04,53,41
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/29/83,0.57,50,45
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/30/83,0.34,53,40
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/31/83,0,55,39
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/1/83,0,57,38
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/2/83,0,54,38
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/3/83,0,52,41
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/4/83,0,58,35
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/5/83,0.22,55,34
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/6/83,0.78,50,46
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/7/83,0.58,55,46
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/8/83,0.87,58,48
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/9/83,0,54,49
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/10/83,0.02,60,47
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/11/83,0,62,45
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/12/83,0.5,62,45
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/13/83,0.28,60,48
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/14/83,0,61,44
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/15/83,0,59,43
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/16/83,0.07,55,41
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/17/83,0,61,40
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/18/83,0.46,61,36
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/19/83,0.05,60,31
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/20/83,0,61,39
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/21/83,0,61,38
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/22/83,0.01,61,44
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/23/83,0,64,51
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/24/83,0.48,54,49
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/25/83,0.36,60,44
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/26/83,2.04,50,43
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/27/83,0.67,59,48
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/28/83,0.55,57,49
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/1/83,2.22,56,49
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/2/83,0.93,59,51
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/3/83,0.85,56,46
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/4/83,0.03,60,47
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/5/83,0.03,63,47
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/6/83,0.08,56,42
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/7/83,0.23,61,43
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/8/83,0,61,50
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/9/83,0,67,50
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/10/83,0,67,50
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/11/83,0.09,68,45
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/12/83,0.18,62,48
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/13/83,2.25,60,50
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/14/83,0.01,61,44
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/15/83,0,61,42
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/16/83,0,62,39
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/17/83,0.55,52,42
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/18/83,0.61,52,43
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/19/83,0,58,41
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/20/83,0,64,44
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/21/83,0.5,53,45
