STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/1/79,0,54,23
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/2/79,0,53,27
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/3/79,0,59,27
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/4/79,0,65,35
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/5/79,0.05,61,41
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/6/79,0.04,62,37
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/7/79,0,64,36
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/8/79,0,67,34
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/9/79,0.61,58,45
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/10/79,0,63,38
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/11/79,0,62,49
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/12/79,0,63,51
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/13/79,0,60,33
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/14/79,0.32,61,31
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/15/79,0.11,61,30
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/16/79,0.06,52,40
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/17/79,0,55,42
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/18/79,0.29,57,34
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/19/79,0,57,30
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/20/79,0,57,31
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/21/79,0,58,36
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/22/79,0,57,37
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/23/79,0,51,31
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/24/79,0,46,40
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/25/79,0.04,54,36
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/26/79,0,52,31
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/27/79,0,55,25
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/28/79,0.31,44,30
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/29/79,0.05,51,29
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/30/79,0,54,29
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,1/31/79,0.36,55,35
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/1/79,0,50,41
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/2/79,0.12,55,35
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/3/79,0,56,28
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/4/79,0,59,28
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/5/79,0,61,27
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/6/79,0,64,29
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/7/79,0,67,30
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/8/79,0,67,31
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/9/79,0,61,32
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/10/79,0,63,40
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/11/79,0,68,34
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/12/79,0,75,38
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/13/79,0.04,71,49
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/14/79,0.34,64,47
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/15/79,0,61,31
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/16/79,0.19,60,37
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/17/79,0,61,35
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/18/79,0,62,36
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/19/79,0.17,61,33
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/20/79,0.07,63,34
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/21/79,0.84,54,44
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/22/79,0.17,59,39
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/23/79,0.2,61,40
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/24/79,0,65,35
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/25/79,0,69,32
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/26/79,0.03,65,42
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/27/79,0,60,36
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,2/28/79,0,63,38
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/1/79,0.58,58,40
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/2/79,0,63,29
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/3/79,0,66,33
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/4/79,0,66,40
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/5/79,0,69,41
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/6/79,0,76,41
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/7/79,0,79,42
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/8/79,0,79,42
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/9/79,0,80,43
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/10/79,0,81,43
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/11/79,0,78,41
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/12/79,0,76,50
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/13/79,0,71,50
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/14/79,0.44,65,52
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/15/79,0.1,64,48
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/16/79,0.16,61,49
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/17/79,0.14,61,45
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/18/79,0.2,64,46
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/19/79,0,60,46
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/20/79,0.02,61,42
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/21/79,0.21,62,42
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/22/79,0,64,39
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/23/79,0,70,38
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/24/79,0,73,40
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/25/79,0,74,39
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/26/79,0,70,46
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/27/79,0.65,70,45
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/28/79,0.89,66,47
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/29/79,0.18,65,43
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/30/79,0,61,41
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,3/31/79,0,69,40
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/1/79,0,70,41
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/2/79,0,70,37
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/3/79,0,72,35
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/4/79,0,80,40
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/5/79,0,85,45
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/6/79,0,80,46
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/7/79,0,72,39
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/8/79,0,79,42
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/9/79,0,74,42
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/10/79,0,66,37
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/11/79,0,70,40
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/12/79,0,75,41
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/13/79,0,78,42
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/14/79,0,81,45
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/15/79,0,84,46
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/16/79,0,82,46
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/17/79,0,76,45
USC00044957,"LINDSAY, CA US",36.2032,-119.0545,132.6,4/18/79,0,68,34
