STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/1/94,0,65,40
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/2/94,0,72,42
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/3/94,0,73,46
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/4/94,0,65,44
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/5/94,0,66,47
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/6/94,0,70,45
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/7/94,0,69,48
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/8/94,0,65,42
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/9/94,0,64,39
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/10/94,0,72,47
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/11/94,0,69,43
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/12/94,0,75,54
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/13/94,0,82,61
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/14/94,0,77,55
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/15/94,0,66,46
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/16/94,0,63,42
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/17/94,0,66,40
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/18/94,0,73,50
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/19/94,0,62,42
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/20/94,0,62,47
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/21/94,0,66,42
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/22/94,0,71,45
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/23/94,0,67,49
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/24/94,0.41,62,44
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/25/94,0,60,44
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/26/94,0,62,42
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/27/94,0,62,43
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/28/94,0,62,40
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/29/94,0,69,43
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/30/94,0,62,37
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,1/31/94,0,67,41
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/1/94,0,62,55
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/2/94,0,65,48
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/3/94,0.54,61,42
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/4/94,0.15,65,49
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/5/94,0,65,51
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/6/94,0.3,63,49
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/7/94,0.64,63,52
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/8/94,0,61,48
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/9/94,0,62,43
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/10/94,0,62,44
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/11/94,0,62,44
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/12/94,0,66,47
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/13/94,0,71,47
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/14/94,0,72,44
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/15/94,0,64,38
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/16/94,0,63,48
USW00093111,"POINT MUGU NF, CA US",34.11667,-119.11667,4,2/17/94,1.45,61,51
