STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/1/82,0.12,55,43
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/2/82,0.44,53,38
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/3/82,0,49,32
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/4/82,2.95,44,33
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/5/82,3.04,47,39
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/6/82,0,49,37
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/7/82,0,47,32
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/8/82,0,50,30
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/9/82,0,50,30
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/10/82,0,58,30
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/11/82,0,55,33
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/12/82,0,59,30
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/13/82,0,58,34
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/14/82,0,54,32
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/15/82,0,59,33
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/16/82,0,49,36
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/17/82,0,41,36
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/18/82,0,40,36
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/19/82,0.06,52,39
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/20/82,0.98,44,39
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/21/82,0.57,46,31
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/22/82,0,,30
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/23/82,0,47,33
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/24/82,0,51,31
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/25/82,0,52,30
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/26/82,0.23,52,39
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/27/82,0,55,32
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/28/82,0.21,54,33
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/29/82,0.18,52,42
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/30/82,0,60,35
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,1/31/82,0,57,32
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/1/82,0,59,32
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/2/82,0,67,38
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/3/82,0,70,35
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/4/82,0,63,38
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/5/82,0,54,31
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/6/82,0,55,31
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/7/82,0,55,35
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/8/82,0,58,36
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/9/82,0,58,37
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/10/82,0,54,33
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/11/82,0,55,31
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/12/82,0,57,34
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/13/82,0.06,60,38
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/14/82,0.61,58,48
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/15/82,0.84,60,56
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/16/82,1.08,63,51
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/17/82,0,63,51
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/18/82,0,67,48
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/19/82,0,67,49
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/20/82,0,64,34
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/21/82,0,69,48
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/22/82,0,70,46
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/23/82,0,61,38
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/24/82,0,60,40
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/25/82,0,63,34
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/26/82,0,63,36
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/27/82,0.06,55,49
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,2/28/82,0,63,47
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/1/82,0.66,60,48
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/2/82,1.05,59,50
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/3/82,0,60,40
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/4/82,0,60,41
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/5/82,0,62,43
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/6/82,0,66,38
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/7/82,0,65,40
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/8/82,0.02,57,39
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/9/82,0,65,46
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/10/82,0.17,61,48
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/11/82,0.24,62,53
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/12/82,0.06,62,47
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/13/82,0,68,41
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/14/82,0.15,65,45
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/15/82,0.04,58,43
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/16/82,0.36,55,40
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/17/82,0.75,53,38
USC00044712,"LAKE SOLANO, CA US",38.492,-122.0039,57,3/18/82,0.1,54,36
