STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/1/79,0,52,22
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/2/79,0,46,25
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/3/79,0,53,29
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/4/79,0.11,54,32
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/5/79,0,,
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/6/79,0,49,29
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/7/79,0,41,32
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/8/79,1,43,34
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/9/79,2.3,44,32
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/10/79,0.03,41,32
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/11/79,4.85,47,39
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/12/79,1.75,47,35
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/13/79,0.19,39,27
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/14/79,1.05,42,30
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/15/79,2.2,35,31
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/16/79,1.29,45,26
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/17/79,0,43,26
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/18/79,0,45,26
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/19/79,0,54,25
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/20/79,0,52,31
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/21/79,0,53,29
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/22/79,0,52,25
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/23/79,0,51,25
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/24/79,0,41,26
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/25/79,0.04,41,19
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/26/79,0,49,19
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/27/79,0,41,19
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/28/79,0,39,20
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/29/79,0,37,11
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/30/79,0,39,21
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,1/31/79,0.51,37,27
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,2/1/79,0,31,21
USC00048606,"STRAWBERRY VALLEY, CA US",39.563,-121.1077,1160.7,2/2/79,0.28,42,18
