county,name,agency_collection_num,surv_year,collection_date,trap_nights,trap,trap_problem_bit,num_trap,sex,num_count,collection_type,code,site_latitude,site_longitude,collection_latitude,collection_longitude
LosAngeles,Greater LA County VCD,2945,2012,7/12/12 0:00,6,BG Sentinel,FALSE,1,Females - Unfed,4,abundance,GRLA,34.053973,-118.043293,34.053973,-118.043293
LosAngeles,Greater LA County VCD,4081,2014,10/17/14 0:00,7,Modified CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,2,abundance,GRLA,34.054024,-118.054599,34.054024,-118.054599
LosAngeles,Greater LA County VCD,3216,2014,9/16/14 0:00,1,Gravid trap,FALSE,1,Females - Unfed,1,abundance,GRLA,34.053973,-118.043293,34.053973,-118.043293
LosAngeles,Greater LA County VCD,7685,2015,10/16/15 0:00,7,Modified CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,5,abundance,GRLA,34.056676,-118.037935,34.056676,-118.037935
LosAngeles,Greater LA County VCD,7885,2015,10/16/15 0:00,7,Modified CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,1,abundance,GRLA,34.058581,-118.05236,34.058581,-118.05236
LosAngeles,Greater LA County VCD,8005,2015,10/16/15 0:00,7,Modified CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,1,abundance,GRLA,34.052144,-118.063391,34.052144,-118.063391
LosAngeles,Greater LA County VCD,8450,2015,10/16/15 0:00,7,Modified CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,3,abundance,GRLA,34.007367,-118.164349,34.007367,-118.164349
LosAngeles,Greater LA County VCD,7683,2015,10/2/15 0:00,7,Modified CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,5,abundance,GRLA,34.056676,-118.037935,34.056676,-118.037935
LosAngeles,Greater LA County VCD,4042,2015,10/21/15 0:00,1,Carbon dioxide baited trap,FALSE,1,Females - Unfed,1,abundance,GRLA,34.086389,-118.230833,34.086389,-118.230833
LosAngeles,Greater LA County VCD,7686,2015,10/22/15 0:00,6,Modified CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,6,abundance,GRLA,34.056676,-118.037935,34.056676,-118.037935
LosAngeles,Greater LA County VCD,7886,2015,10/22/15 0:00,6,Modified CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,2,abundance,GRLA,34.058581,-118.05236,34.058581,-118.05236
LosAngeles,Greater LA County VCD,7927,2015,10/22/15 0:00,6,CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,1,abundance,GRLA,34.058581,-118.05236,34.058581,-118.05236
LosAngeles,Greater LA County VCD,8451,2015,10/22/15 0:00,6,Modified CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,1,abundance,GRLA,34.007367,-118.164349,34.007367,-118.164349
LosAngeles,Greater LA County VCD,7687,2015,10/29/15 0:00,7,Modified CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,7,abundance,GRLA,34.056676,-118.037935,34.056676,-118.037935
LosAngeles,Greater LA County VCD,7928,2015,10/29/15 0:00,7,CDC Autocidal Gravid Ovitrap (counts),FALSE,1,Females - Unfed,2,abundance,GRLA,34.058581,-118.05236,34.058581,-118.05236
