County,Size_mi2,Pop.Year.2009,Pop.Year.2010,Pop.Year.2011,Pop.Year.2012,Pop.Year.2013,Pop.Year.2014,Pop.Year.2015,Pop.Year.2016,Pop.Year.2017,Pop.Year.2018,Pop.Year.2019,Pop.Year.2020,Pop.Year.2021,Density.Year.2009,Density.Year.2010,Density.Year.2011,Density.Year.2012,Density.Year.2013,Density.Year.2014,Density.Year.2015,Density.Year.2016,Density.Year.2017,Density.Year.2018,Density.Year.2019,Density.Year.2020,Density.Year.2021,HousingUnits.Year.2009,HousingUnits.Year.2010,HousingUnits.Year.2011,HousingUnits.Year.2012,HousingUnits.Year.2013,HousingUnits.Year.2014,HousingUnits.Year.2015,HousingUnits.Year.2016,HousingUnits.Year.2017,HousingUnits.Year.2018,HousingUnits.Year.2019,HousingUnits.Year.2020,HousingUnits.Year.2021,DogEstimate.Year.2009,DogEstimate.Year.2010,DogEstimate.Year.2011,DogEstimate.Year.2012,DogEstimate.Year.2013,DogEstimate.Year.2014,DogEstimate.Year.2015,DogEstimate.Year.2016,DogEstimate.Year.2017,DogEstimate.Year.2018,DogEstimate.Year.2019,DogEstimate.Year.2020,DogEstimate.Year.2021,DogDensity.Year.2009,DogDensity.Year.2010,DogDensity.Year.2011,DogDensity.Year.2012,DogDensity.Year.2013,DogDensity.Year.2014,DogDensity.Year.2015,DogDensity.Year.2016,DogDensity.Year.2017,DogDensity.Year.2018,DogDensity.Year.2019,DogDensity.Year.2020,DogDensity.Year.2021
Alameda,739,1498539,1512986,1530915,1553764,1579593,1607792,1634538,1650950,1660196,1666756,1671329,1662323,1680480,2027.792963,2047.342355,2071.603518,2102.522327,2137.473613,2175.631935,2211.824087,2234.032476,2246.543978,2255.420839,2261.608931,2249.422192,2273.991881,NA,582628,584631,581859,587829,592393,595871,599780,606053,615129,622957,NA,NA,NA,357733.592,358963.434,357261.426,360927.006,363729.302,365864.794,368264.92,372116.542,377689.206,382495.598,NA,NA,NA,484.0779323,485.7421299,483.4390068,488.3991962,492.191207,495.080912,498.3287145,503.5406522,511.0814696,517.5853829,NA,NA
Alpine,743,1197,1161,1093,1110,1128,1080,1077,1047,1111,1089,1129,1119,1209,1.611036339,1.562584118,1.471063257,1.493943472,1.518169583,1.453566622,1.449528937,1.409152086,1.495289367,1.465679677,1.519515478,1.506056528,1.627187079,NA,1794,1772,1815,1835,1821,1801,1771,1742,1733,1767,NA,NA,NA,1101.516,1088.008,1114.41,1126.69,1118.094,1105.814,1087.394,1069.588,1064.062,1084.938,NA,NA,NA,1.482524899,1.464344549,1.499878869,1.51640646,1.504837147,1.488309556,1.46351817,1.439553163,1.432115747,1.460212651,NA,NA
Amador,606,38238,37886,37543,37104,36620,36726,37031,37429,38529,39405,39752,40083,40446,63.0990099,62.51815182,61.95214521,61.22772277,60.4290429,60.6039604,61.10726073,61.7640264,63.57920792,65.02475248,65.59735974,66.14356436,66.74257426,NA,17823,17943,18017,18083,18157,18184,18203,18259,18278,18379,NA,NA,NA,10943.322,11017.002,11062.438,11102.962,11148.398,11164.976,11176.642,11211.026,11222.692,11284.706,NA,NA,NA,18.05828713,18.17987129,18.25484818,18.32171947,18.39669637,18.42405281,18.44330363,18.5000429,18.51929373,18.62162706,NA,NA
Butte,1677,219777,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186,212744,196880,131.0536673,131.1562314,131.1717352,131.7048301,132.1651759,133.2832439,133.9481216,134.9022063,136.372093,137.3518187,130.7012522,126.8598688,117.4001193,NA,95867,95901,96000,96856,97491,98040,98439,99405,100038,86212,NA,NA,NA,58862.338,58883.214,58944,59469.584,59859.474,60196.56,60441.546,61034.67,61423.332,52934.168,NA,NA,NA,35.09978414,35.11223256,35.14847943,35.4618867,35.69437925,35.89538462,36.04147048,36.39515206,36.62691234,31.56479905,NA,NA
Calaveras,1037,45900,45468,45160,44815,44655,44671,44965,45322,45681,45698,45905,46308,46319,44.26229508,43.84570878,43.54869817,43.21600771,43.06171649,43.07714561,43.36065574,43.70491803,44.05110897,44.06750241,44.26711668,44.6557377,44.66634523,NA,27613,27823,27867,27954,28006,28031,28104,28169,27988,27995,NA,NA,NA,16954.382,17083.322,17110.338,17163.756,17195.684,17211.034,17255.856,17295.766,17184.632,17188.93,NA,NA,NA,16.34945227,16.47379171,16.49984378,16.55135583,16.58214465,16.59694696,16.64016972,16.67865574,16.57148698,16.57563163,NA,NA
Colusa,1156,21250,21437,21323,21284,21250,21176,21231,21496,21579,21418,21547,21558,21805,18.38235294,18.54411765,18.44550173,18.41176471,18.38235294,18.3183391,18.36591696,18.59515571,18.66695502,18.52768166,18.63927336,18.64878893,18.86245675,NA,7775,7850,7866,7880,7891,7931,7939,7990,8004,8044,NA,NA,NA,4773.85,4819.9,4829.724,4838.32,4845.074,4869.634,4874.546,4905.86,4914.456,4939.016,NA,NA,NA,4.129628028,4.169463668,4.177961938,4.185397924,4.191240484,4.212486159,4.216735294,4.243823529,4.251259516,4.27250519,NA,NA
ContraCosta,716,1037890,1052540,1065440,1077548,1093401,1108876,1124405,1137268,1145535,1150519,1153526,1152333,1159540,1449.567039,1470.027933,1488.044693,1504.955307,1527.096369,1548.709497,1570.398045,1588.363128,1599.909218,1606.870112,1611.069832,1609.403631,1619.469274,NA,400447,401362,401397,404167,406792,408783,410814,414055,415955,418696,NA,NA,NA,245874.458,246436.268,246457.758,248158.538,249770.288,250992.762,252239.796,254229.77,255396.37,257079.344,NA,NA,NA,343.400081,344.1847318,344.2147458,346.5901369,348.8411844,350.5485503,352.2902179,355.0695112,356.6988408,359.0493631,NA,NA
DelNorte,1230,28599,28566,28443,28190,27816,27175,27190,27382,27351,27740,27812,27968,27956,23.25121951,23.22439024,23.12439024,22.91869919,22.61463415,22.09349593,22.10569106,22.26178862,22.23658537,22.55284553,22.61138211,22.73821138,22.72845528,NA,11119,11150,11185,11245,11270,11305,11326,11364,11373,11379,NA,NA,NA,6827.066,6846.1,6867.59,6904.43,6919.78,6941.27,6954.164,6977.496,6983.022,6986.706,NA,NA,NA,5.550460163,5.565934959,5.583406504,5.613357724,5.625837398,5.643308943,5.65379187,5.672760976,5.677253659,5.68024878,NA,NA
ElDorado,1786,180455,181136,180936,180575,181481,183108,184569,185976,188679,190746,192843,192925,197037,101.0386338,101.4199328,101.3079507,101.1058231,101.6131019,102.5240761,103.3421053,104.1298992,105.6433371,106.8006719,107.974804,108.0207167,110.3230683,NA,88158,88784,88109,88483,88871,89005,89468,90311,91094,91662,NA,NA,NA,54129.012,54513.376,54098.926,54328.562,54566.794,54649.07,54933.352,55450.954,55931.716,56280.468,NA,NA,NA,30.30739754,30.52260694,30.29055207,30.41912766,30.55251624,30.59858343,30.75775588,31.04756663,31.31675028,31.51202016,NA,NA
Fresno,6011,921478,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101,1000918,1013400,153.2986192,155.0555648,156.2811512,157.2192647,158.2954583,159.8015305,161.285643,162.5070704,163.9058393,165.0224588,166.2121111,166.5143903,168.5909167,NA,315965,318099,318451,320796,324158,326015,327812,330958,333809,336479,NA,NA,NA,194002.51,195312.786,195528.914,196968.744,199033.012,200173.21,201276.568,203208.212,204958.726,206598.106,NA,NA,NA,32.2745816,32.4925613,32.52851672,32.76804924,33.11146432,33.30114956,33.48470604,33.80605756,34.09727599,34.37000599,NA,NA
