County,Year,HDU,HDUday
Alameda,2010,335.5072724,174.2670713
Butte,2010,554.7856968,163.9765625
Cache,2010,109.1888584,204
Calaveras,2010,455.8163311,166
Colusa,2010,553.5796142,163.5
ContraCosta,2010,392.0752835,170.6666667
Davis,2010,173.2674762,193.3333333
Fresno,2010,760.4658461,143.5609693
Glenn,2010,596.7059357,161.4285714
Imperial,2010,1144.400043,116.8701299
Inyo,2010,278.6481088,185.7323944
Kern,2010,656.6877834,152.1551724
Kings,2010,753.1150134,148.9885057
Lake,2010,351.8323377,177.0181347
LosAngeles,2010,412.492743,161.1281139
Madera,2010,710.0014299,150.6337509
Marin,2010,274.2069839,184.5416667
Merced,2010,626.6764287,154.2454435
Monterey,2010,233.9609122,180.6666667
Napa,2010,355.3409197,177.4814815
Nevada,2010,213.2289212,192
NULL,2010,810.0286961,140
Orange,2010,395.713283,154.5202109
Placer,2010,515.5507866,167.0289762
Riverside,2010,751.6678825,136.5740517
Sacramento,2010,546.2007123,161.2241379
SaltLake,2010,235.6763547,186.8333333
San Bernardino,2010,841.9617881,138.625
SanBenito,2010,200.6373929,187.4333333
SanBernardino,2010,409.1823563,163.7437199
SanDiego,2010,312.0609064,163.9777889
SanFrancisco,2010,283.600718,179
SanJoaquin,2010,621.120429,156.7642276
SanLuisObispo,2010,237.833931,179.5
SanMateo,2010,272.3813332,181.9746515
SantaBarbara,2010,205.4755069,184.5977011
SantaClara,2010,298.8091328,178.4986155
SantaCruz,2010,261.71601,185.2058824
Shasta,2010,506.8359884,165.4144487
Solano,2010,449.5109619,168.0303951
Sonoma,2010,300.5872187,183.1025641
Stanislaus,2010,570.0560642,156.3036649
Sutter,2010,611.6336571,158.5892857
Tehama,2010,618.7370793,159.6153846
Tulare,2010,712.5620658,148.1612335
Ventura,2010,313.1630139,171.7128378
Yolo,2010,570.6630154,158.6382979
Yuba,2010,614.373868,158.7115385
Alameda,2011,206.7431014,179.3603945
Butte,2011,450.4243028,167.5390625
Cache,2011,94.16366863,203
Calaveras,2011,320.4080507,172
Colusa,2011,436.7966283,166.25
ContraCosta,2011,255.9690808,175.5957447
Davis,2011,184.8372215,194
Fresno,2011,633.5963271,134.7519688
Glenn,2011,510.1736199,165.2142857
Imperial,2011,1072.310715,110.3376623
Inyo,2011,242.6681118,192.7464789
Kern,2011,557.9668153,140.1896552
Kings,2011,620.912541,139.0229885
Lake,2011,241.0470372,177.0647668
LosAngeles,2011,308.4477441,161.57414
Madera,2011,572.7026687,139.2984525
Marin,2011,161.8961556,187.1666667
Merced,2011,489.792203,143.3487242
Monterey,2011,172.0169042,177.7333333
Napa,2011,218.1523502,181.037037
Nevada,2011,138.9281421,190
NULL,2011,743.1864994,141
Orange,2011,318.7340394,133.9472759
Placer,2011,383.8643655,170.6986478
Riverside,2011,693.5773906,128.3900323
Sacramento,2011,406.0704491,164.9733037
SaltLake,2011,225.3487446,189.3888889
San Bernardino,2011,776.1675606,137.875
SanBenito,2011,104.7969184,185.4666667
SanBernardino,2011,305.6673138,167.3840192
SanDiego,2011,219.2508899,146.6518592
SanFrancisco,2011,167.0579603,184
SanJoaquin,2011,493.3300147,160.351626
SanLuisObispo,2011,148.7316413,180.5
SanMateo,2011,157.7589492,185.2661597
SantaBarbara,2011,127.1343548,181.5172414
SantaClara,2011,175.3892123,179.5177849
SantaCruz,2011,148.1162604,186.2058824
Shasta,2011,460.7879642,169.0468948
Solano,2011,311.3911135,171.9635258
Sonoma,2011,182.4916302,185.1384615
Stanislaus,2011,446.1447393,151.6289267
Sutter,2011,487.4401563,161.6607143
Tehama,2011,553.1375414,163.6153846
Tulare,2011,589.6800538,140.5665198
Ventura,2011,216.4178091,169.2094595
Yolo,2011,441.4422834,161.572695
Yuba,2011,491.0666838,161.8269231
Alameda,2012,223.0903325,158.2610015
Butte,2012,407.7707215,137.3125
Cache,2012,99.94004953,191
Calaveras,2012,317.0755954,151
Colusa,2012,398.1310856,137.4375
ContraCosta,2012,255.9095576,152.5035461
Davis,2012,175.6330808,177
Fresno,2012,593.5451887,126.9588057
Glenn,2012,447.2662346,133.7142857
Imperial,2012,985.7919149,112.6753247
Inyo,2012,243.4329593,178.8873239
Kern,2012,531.2409324,130.2492163
Kings,2012,593.8805034,129.0114943
Lake,2012,242.4726921,158.5181347
LosAngeles,2012,296.2886776,140.5448794
Madera,2012,540.309053,128.8820929
Marin,2012,153.6918164,165.4166667
Merced,2012,467.3280035,131.200486
Monterey,2012,172.7118344,168.6
Napa,2012,212.2076593,159.2037037
Nevada,2012,176.417062,172
NULL,2012,715.7663328,122.6666667
Orange,2012,296.4461583,134.8804921
Placer,2012,362.5065472,144.9265937
Riverside,2012,644.0730448,123.2443503
Sacramento,2012,379.9602794,138.5556174
SaltLake,2012,235.1312511,171.2407407
San Bernardino,2012,730.7036261,125.25
SanBenito,2012,147.0011248,174.4333333
SanBernardino,2012,299.3229553,141.6982897
SanDiego,2012,215.8871915,145.7686549
SanFrancisco,2012,188.5308447,167
SanJoaquin,2012,449.0959308,133.1615854
SanLuisObispo,2012,176.5922098,165.5
SanMateo,2012,182.5917642,167.4178285
SantaBarbara,2012,155.1779679,171.183908
SantaClara,2012,220.2899882,158.0232162
SantaCruz,2012,179.417736,166.9411765
Shasta,2012,432.9598316,141.7642586
Solano,2012,292.4784092,148.2674772
Sonoma,2012,169.2617092,162.8820513
Stanislaus,2012,427.3801914,133.6963351
Sutter,2012,437.4724037,133.7321429
Tehama,2012,482.8494676,133
Tulare,2012,566.7390025,129.938326
Ventura,2012,213.0364849,157.5168919
Yolo,2012,405.9556552,133.8457447
Yuba,2012,439.8819415,133.8461538
Alameda,2013,265.1086857,137.776176
Butte,2013,498.9209229,129.921875
Cache,2013,40.79396331,187
Calaveras,2013,347.5082476,136
Colusa,2013,492.0328769,130.34375
ContraCosta,2013,312.260516,135.964539
Davis,2013,107.1486254,179.3333333
