Year,County,MedianHouseholdIncome$
2021,Alameda,NA
2020,Alameda,NA
2019,Alameda,108322
2018,Alameda,102125
2017,Alameda,96296
2016,Alameda,89979
2015,Alameda,81717
2014,Alameda,77214
2013,Alameda,72399
2012,Alameda,70500
2011,Alameda,67558
2010,Alameda,67169
2021,Butte,NA
2020,Butte,NA
2019,Butte,62563
2018,Butte,51652
2017,Butte,49061
2016,Butte,45177
2015,Butte,45644
2014,Butte,42365
2013,Butte,42752
2012,Butte,40960
2011,Butte,39179
2010,Butte,41657
2021,ContraCosta,NA
2020,ContraCosta,NA
2019,ContraCosta,107135
2018,ContraCosta,101618
2017,ContraCosta,95339
2016,ContraCosta,91045
2015,ContraCosta,83104
2014,ContraCosta,80361
2013,ContraCosta,79100
2012,ContraCosta,74177
2011,ContraCosta,74353
2010,ContraCosta,73721
2021,ElDorado,NA
2020,ElDorado,NA
2019,ElDorado,87059
2018,ElDorado,82742
2017,ElDorado,79414
2016,ElDorado,75772
2015,ElDorado,79019
2014,ElDorado,71113
2013,ElDorado,61365
2012,ElDorado,69973
2011,ElDorado,61084
2010,ElDorado,66129
2021,Fresno,NA
2020,Fresno,NA
2019,Fresno,57518
2018,Fresno,52629
2017,Fresno,51800
2016,Fresno,48715
2015,Fresno,46949
2014,Fresno,43423
2013,Fresno,43925
2012,Fresno,41627
2011,Fresno,42807
2010,Fresno,45221
2021,Humboldt,NA
2020,Humboldt,NA
2019,Humboldt,51662
2018,Humboldt,50294
2017,Humboldt,46494
2016,Humboldt,43130
2015,Humboldt,40484
2014,Humboldt,40598
2013,Humboldt,42092
2012,Humboldt,40682
2011,Humboldt,41187
2010,Humboldt,38492
2021,Imperial,NA
2020,Imperial,NA
2019,Imperial,48472
2018,Imperial,48984
2017,Imperial,47211
2016,Imperial,49095
2015,Imperial,40852
2014,Imperial,39290
2013,Imperial,43310
2012,Imperial,40200
2011,Imperial,37843
2010,Imperial,41802
2021,Kern,NA
2020,Kern,NA
2019,Kern,53067
2018,Kern,51579
2017,Kern,49854
2016,Kern,49903
2015,Kern,51342
2014,Kern,47644
2013,Kern,46879
2012,Kern,45910
2011,Kern,45224
2010,Kern,45524
2021,Kings,NA
2020,Kings,NA
2019,Kings,58453
2018,Kings,61663
2017,Kings,57555
2016,Kings,53234
2015,Kings,45746
2014,Kings,42784
2013,Kings,45774
2012,Kings,45935
2011,Kings,50345
2010,Kings,44609
2021,Lake,NA
2020,Lake,NA
2019,Lake,47138
2018,Lake,48554
2017,Lake,48930
2016,Lake,42029
2015,Lake,37294
2014,Lake,34529
2013,Lake,37079
2012,Lake,33219
2011,Lake,35991
2010,Lake,34910
2021,LosAngeles,NA
2020,LosAngeles,NA
