County,Year,AnnualPrecip
Alameda,2010,607.8844487
Butte,2010,940.8488615
Cache,2010,469.2351737
Calaveras,2010,612.0729557
Colusa,2010,751.3377079
ContraCosta,2010,618.8251933
Davis,2010,577.5877723
Fresno,2010,340.0988431
Glenn,2010,751.4927255
Imperial,2010,59.56739463
Inyo,2010,333.4570611
Kern,2010,240.2776988
Kings,2010,236.7490072
Lake,2010,1067.091585
LosAngeles,2010,359.7957145
Madera,2010,322.7602835
Marin,2010,871.0075413
Merced,2010,351.8631074
Monterey,2010,593.0883704
Napa,2010,844.8836734
Nevada,2010,1221.004976
NULL,2010,520.9751961
Orange,2010,331.7539796
Placer,2010,657.5852417
Riverside,2010,165.5405648
Sacramento,2010,566.3442168
SaltLake,2010,532.0321772
San Bernardino,2010,213.9965025
SanBenito,2010,481.9380254
SanBernardino,2010,301.0543013
SanDiego,2010,280.5665859
SanFrancisco,2010,682.7142562
SanJoaquin,2010,314.9645538
SanLuisObispo,2010,594.8878358
SanMateo,2010,803.0812405
SantaBarbara,2010,631.9599297
SantaClara,2010,796.9030488
SantaCruz,2010,672.0032134
Shasta,2010,1208.944206
Solano,2010,705.9208772
Sonoma,2010,948.9964808
Stanislaus,2010,397.3083625
Sutter,2010,642.5668043
Tehama,2010,766.5840744
Tulare,2010,318.9826154
Ventura,2010,550.0842885
Yolo,2010,604.3706032
Yuba,2010,653.5482623
Alameda,2011,482.5725507
Butte,2011,731.3507865
Cache,2011,462.9845645
Calaveras,2011,571.4179118
Colusa,2011,571.045819
ContraCosta,2011,490.5474053
Davis,2011,516.1312449
Fresno,2011,202.0257698
Glenn,2011,475.5613617
Imperial,2011,31.13207773
Inyo,2011,226.1643271
Kern,2011,132.0476619
Kings,2011,121.1289683
Lake,2011,858.7814
LosAngeles,2011,151.8948955
Madera,2011,183.797849
Marin,2011,742.9331037
Merced,2011,245.8127207
Monterey,2011,436.7852979
Napa,2011,692.6525529
Nevada,2011,1236.2319
NULL,2011,451.6468447
Orange,2011,109.5797783
Placer,2011,554.7080383
Riverside,2011,73.69588537
Sacramento,2011,448.1528744
SaltLake,2011,438.7231161
San Bernardino,2011,121.8214152
SanBenito,2011,378.2952788
SanBernardino,2011,156.3379477
SanDiego,2011,156.1614896
SanFrancisco,2011,535.5196876
SanJoaquin,2011,194.2398214
SanLuisObispo,2011,324.7213904
SanMateo,2011,608.0722143
SantaBarbara,2011,331.963263
SantaClara,2011,623.8951049
SantaCruz,2011,492.8955579
Shasta,2011,1015.06735
Solano,2011,556.9008403
Sonoma,2011,804.2979241
Stanislaus,2011,310.028461
Sutter,2011,508.1004658
Tehama,2011,494.7503776
Tulare,2011,185.8808699
Ventura,2011,210.4541223
Yolo,2011,454.7293568
Yuba,2011,521.7326493
Alameda,2012,414.6013092
Butte,2012,871.918925
Cache,2012,512.4951154
Calaveras,2012,562.5668828
Colusa,2012,671.5443633
ContraCosta,2012,434.9965229
Davis,2012,627.1237294
Fresno,2012,233.1676584
Glenn,2012,658.2605774
Imperial,2012,83.83016213
Inyo,2012,235.4687467
Kern,2012,174.2087777
Kings,2012,160.6986882
Lake,2012,963.1870873
LosAngeles,2012,368.390547
Madera,2012,212.6171079
Marin,2012,710.3636972
Merced,2012,236.8277248
