County,Year,Lag_Ae.sierrensis,Lag_Ae.albopictus,Lag_Ae.aegypti,Lag_Ae.vexans,Lag_An.freeborni,Lag_Cs.incidencs,Lag_Cs.inornata,Lag_Cx.quinquefasciatus,Lag_Cx.tarsalis,Region,TotalPositive,TotalTested,PerPos
Alameda,2012,1.666666667,NA,NA,NA,2,2.473684211,11.44444444,NA,52.32352941,Central,41,15836,0.258903764
Alameda,2013,1,NA,NA,NA,NA,1,NA,NA,17.5952381,Central,66,16491,0.400218301
Alameda,2014,1.5,NA,NA,NA,NA,1.222222222,NA,NA,24.76923077,Central,81,21045,0.384889522
Alameda,2015,1,NA,NA,NA,1,2.5,1.625,NA,14.22058824,Central,77,23926,0.321825629
Alameda,2017,1.833333333,NA,NA,NA,4.333333333,4.972631579,2.253731343,NA,12.7872,Central,74,22025,0.335981839
Alameda,2018,5.148148148,NA,NA,NA,2.5,4.980327869,3.882075472,NA,11.43669986,Central,71,27461,0.258548487
Alameda,2019,2.692307692,NA,NA,NA,4.111111111,4.855102041,1.8,NA,11.08689655,Central,86,33791,0.254505638
Alameda,2020,NA,NA,NA,2,5.766666667,3.9,7.035714286,NA,14.37008872,Central,81,38583,0.209937019
Alameda,2021,2.714285714,NA,NA,NA,2.04,3.551155116,2.333333333,NA,14.62425447,Central,17,10669,0.159340144
Butte,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,93,3580,2.597765363
Butte,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,95,4105,2.314250914
Butte,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,114,4568,2.495621716
Butte,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,127,4979,2.550712995
Butte,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,110,5774,1.905091791
Butte,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,110,7240,1.519337017
Butte,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,116,8313,1.395404788
Butte,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,154,10476,1.470026728
Butte,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,120,10760,1.115241636
Butte,2021,NA,NA,NA,88.5,43.4,3,NA,NA,3.846153846,NorCal,15,2650,0.566037736
Calaveras,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central,10,1358,0.736377025
Calaveras,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central,17,1455,1.16838488
Calaveras,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central,11,1603,0.68621335
Calaveras,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central,13,2758,0.471356055
Calaveras,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central,21,2700,0.777777778
Calaveras,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central,19,2324,0.817555938
Calaveras,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central,8,2299,0.347977381
Calaveras,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central,8,2227,0.359227661
Calaveras,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central,13,2225,0.584269663
Calaveras,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central,5,602,0.830564784
Colusa,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,0,15,0
Colusa,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,0,14,0
Colusa,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,0,5,0
Colusa,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,0,6,0
Colusa,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,0,8,0
Colusa,2018,NA,NA,NA,NA,25.28571429,NA,NA,NA,6.142857143,NorCal,0,9,0
Colusa,2019,NA,NA,NA,NA,NA,NA,NA,NA,5,NorCal,0,11,0
Colusa,2020,NA,NA,NA,NA,NA,NA,NA,NA,21.2,NorCal,1,11,9.090909091
Colusa,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,0,2,0
ContraCosta,2012,1.5,NA,NA,4.066666667,1,4.212121212,2.230769231,NA,41.99790356,Central,51,14464,0.352599558
ContraCosta,2013,1,NA,NA,7.166666667,1,4.83908046,2.227272727,NA,45.839599,Central,62,14475,0.428324698
ContraCosta,2014,1,NA,NA,4.636363636,NA,1.571428571,1.685714286,NA,60.68601583,Central,35,15895,0.22019503
ContraCosta,2015,1.5,NA,NA,2.941176471,1,2.080645161,3.558823529,NA,24.93961353,Central,60,17908,0.33504579
ContraCosta,2016,1.466666667,NA,NA,13.21052632,1.125,1.963414634,2.24137931,NA,60.87971698,Central,49,18845,0.260015919
ContraCosta,2017,1.384615385,NA,NA,2.823529412,2,2.123809524,1.875,NA,42.75555556,Central,77,19370,0.397521941
ContraCosta,2018,1.791666667,NA,NA,17.31818182,1.111111111,1.829268293,2.204081633,NA,39.47835052,Central,68,18657,0.36447446
ContraCosta,2020,2.296296296,NA,NA,32.71929825,1,4.410852713,4.220588235,NA,32.52214452,Central,89,34663,0.256757926
ContraCosta,2021,2.333333333,NA,NA,163.6724138,1,2.80952381,2.138888889,NA,47.71883289,Central,31,9730,0.318602261
Fresno,2012,2,NA,NA,34.87841945,2.782485876,7.5375,2.290540541,30.59121977,29.3718657,SoCal,38,8092,0.469599605
Fresno,2013,3.6875,NA,NA,6.53125,3.887096774,6.451553931,1.066666667,24.56424718,30.14724839,SoCal,83,9150,0.907103825
Fresno,2014,1.310344828,NA,1.661538462,11.29090909,3.43083004,5.780399274,1.647058824,18.85510553,16.88228999,SoCal,52,9912,0.524616626
Fresno,2015,1.545454545,NA,7.126903553,73.59615385,6.103896104,9.247582205,1.086956522,23.11192017,26.1895948,SoCal,82,9708,0.844664194
Fresno,2016,1.388888889,NA,5.13592233,7.70212766,3.375,6.691252144,1.263157895,20.47212895,22.51843423,SoCal,54,9830,0.549338759
Fresno,2017,3.25,NA,4.858178888,17.41269841,3.533613445,3.377668309,1.296296296,18.9846852,22.82760989,SoCal,59,8898,0.663070353
Fresno,2018,4.705882353,NA,6.454545455,2.294117647,2.819230769,5.243445693,3.162393162,14.65111603,23.05865922,SoCal,47,8531,0.550931895
Fresno,2019,2,NA,4.736949153,9.266666667,3.025773196,2,1.076923077,19.80921638,24.9296595,SoCal,47,9484,0.495571489
Fresno,2020,1.857142857,NA,7.904452964,5.260869565,6.143442623,2.481132075,1.694117647,15.80325261,22.85920132,SoCal,54,11749,0.459613584
Fresno,2021,NA,NA,6.399134487,16.07692308,2.63030303,2.505,1.589285714,23.46184739,23.61469673,SoCal,12,3422,0.350672122
Glenn,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,1,1647,0.060716454
Glenn,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,0,499,0
Glenn,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,0,38,0
Glenn,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,1,506,0.197628458
Glenn,2016,NA,NA,NA,NA,2,NA,NA,NA,1,NorCal,2,1233,0.162206002
Glenn,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,4,1012,0.395256917
Glenn,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,2,1319,0.151630023
Glenn,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,10,1002,0.998003992
Glenn,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,6,1358,0.441826215
Glenn,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NorCal,1,390,0.256410256
Imperial,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,0,9,0
Imperial,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,8,316,2.53164557
Imperial,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,7,618,1.132686084
Imperial,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,10,602,1.661129568
Imperial,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,4,596,0.67114094
Imperial,2017,NA,NA,2,NA,NA,NA,NA,NA,NA,SoCal,4,741,0.539811066
Imperial,2018,NA,NA,4.007936508,3,NA,NA,NA,10.41880342,25.03571429,SoCal,4,577,0.693240901
Imperial,2019,NA,NA,2.942857143,NA,NA,NA,NA,8.020408163,4.875,SoCal,1,325,0.307692308
Imperial,2020,NA,NA,7.363636364,64.125,NA,NA,NA,9.5,6.7,SoCal,0,147,0
Imperial,2021,NA,NA,3.85,1,NA,NA,NA,6.964285714,15.62068966,SoCal,0,25,0
Inyo,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoCal,1,47,2.127659574
Inyo,2013,NA,NA,NA,NA,NA,2,3.052631579,NA,20.24074074,SoCal,1,23,4.347826087
Inyo,2014,NA,NA,NA,1,2.90625,2,2.04,NA,10.63247863,SoCal,1,36,2.777777778
Inyo,2015,NA,NA,NA,NA,5.456521739,1,2.384615385,NA,17.34640523,SoCal,0,35,0
Inyo,2016,NA,NA,NA,NA,3.233333333,1.814814815,1.5,NA,13.33076923,SoCal,0,36,0
Inyo,2017,NA,NA,NA,NA,7.096153846,2.617021277,4,NA,27.84827586,SoCal,0,45,0
Inyo,2019,NA,NA,NA,NA,5.739130435,3,1.166666667,NA,14.46391753,SoCal,0,54,0
Inyo,2020,NA,NA,NA,NA,4,1,2.586206897,NA,28.4368932,SoCal,0,37,0
Inyo,2021,NA,NA,NA,NA,1,1,NA,NA,2.25,SoCal,0,7,0
Kern,2012,1.375,NA,NA,NA,2.725,3.271084337,2.340540541,27.81451104,47.23986486,SoCal,8,1625,0.492307692
Kern,2013,1,NA,NA,NA,6.117647059,2.593167702,1.658536585,35.03191489,37.61346489,SoCal,11,1449,0.759144237
Kern,2014,1,NA,NA,NA,4.487179487,2.182170543,2.25625,31.21181384,78.07345576,SoCal,8,1521,0.525969757
